Summary,Internal ID,Number,Account,Type,Description,Currency,Foreign Currency Balance,Balance
No,505,73050014,Subscriptions & License,Other Expense,,,S$0.00 ,"45,098.94 "
No,506,73050015,Buz Reply SVC,Other Expense,,,S$0.00 ,"6,405.42 "
No,1140,73050016,Warehouse Storage,Other Expense,,,S$0.00 ,"73,684.20 "
No,1173,73050017,Office Working Meals,Other Expense,,,S$0.00 ,"9,796.26 "
No,1246,73050018,Meeting-space rental,Other Expense,,,S$0.00 ,"2,980.00 "
No,507,73060001,Repairs & Maintenance,Other Expense,,,S$0.00 ,"220,044.54 "
Yes,228,73070000,Upkeep of Motor Vehicle,Other Expense,,,S$0.00 ,"18,374.11 "
No,508,73070001,"Motor Vehicle-Petrol, ERP, Parking",Other Expense,,,S$0.00 ,"14,016.69 "
No,509,73070002,Motor Vehicle-Road Tax,Other Expense,,,S$0.00 ,147.00 
No,510,73070003,Motor Vehicle-Insurance,Other Expense,,,S$0.00 ,838.94 
No,511,73070004,Motor Vehicle-Maintenance,Other Expense,,,S$0.00 ,"3,371.48 "
Yes,229,74000000,Local Transport & Travel,Other Expense,,,S$0.00 ,"429,935.69 "
No,512,74010001,Private Car expenses,Other Expense,,,S$0.00 ,"100,385.75 "
No,513,74010002,Local Transport,Other Expense,,,S$0.00 ,"21,169.58 "
No,514,74010003,OT transport,Other Expense,,,S$0.00 ,"11,978.75 "
No,515,74020001,Travel-Airfare,Other Expense,,,S$0.00 ,"145,607.51 "
No,516,74020002,Travel-Hotel,Other Expense,,,S$0.00 ,"78,364.62 "
No,517,74020003,Travel-Transport,Other Expense,,,S$0.00 ,"1,673.57 "
No,518,74020004,Travel-Meal,Other Expense,,,S$0.00 ,"5,132.98 "
No,519,74020005,Travel-Entertainment,Other Expense,,,S$0.00 ,"2,161.62 "
No,520,74020006,Travel-VISA,Other Expense,,,S$0.00 ,259.00 
No,521,74020007,Travel-Others,Other Expense,,,S$0.00 ,"63,202.31 "
No,1334,74020008,Travel-Daily Allowance,Other Expense,,,S$0.00 ,0.00 
Yes,230,74030000,Gifts & Entertainment,Other Expense,,,S$0.00 ,"77,545.77 "
No,522,74030001,Entertainment,Other Expense,,,S$0.00 ,"52,237.34 "
No,523,74030002,Gifts & Hospitality,Other Expense,,,S$0.00 ,"25,308.43 "
Yes,231,75000000,Telecommunication,Other Expense,,,S$0.00 ,"133,778.51 "
No,524,75010001,Telecomm,Other Expense,,,S$0.00 ,"127,106.35 "
No,525,75010002,Simcards,Other Expense,,,S$0.00 ,"6,672.16 "
Yes,232,76000000,Professional & Accounting Fees,Other Expense,,,S$0.00 ,"2,458,291.58 "
No,526,76010001,Audit fee,Other Expense,,,S$0.00 ,"420,414.14 "
No,527,76010002,Tax fee,Other Expense,,,S$0.00 ,"73,839.60 "
No,528,76010003,Corporate Secretarial fee,Other Expense,,,S$0.00 ,"39,718.90 "
No,529,76010004,Professional fee,Other Expense,,,S$0.00 ,"460,656.68 "
No,530,76010005,Legal fee,Other Expense,,,S$0.00 ,"1,051,164.02 "
No,531,76020001,Prof fee-disbursement,Other Expense,,,S$0.00 ,"412,498.24 "
No,532,77000000,Depreciation & Amortisation,Other Expense,,,S$0.00 ,"4,456,674.72 "
No,533,77010001,Depn-Building,Other Expense,,,S$0.00 ,"1,135,869.46 "
No,534,77010002,Depn-Leasehold improvements,Other Expense,,,S$0.00 ,"1,366.45 "
No,535,77010003,Depn-Renovation,Other Expense,,,S$0.00 ,"199,152.28 "
No,536,77010004,Depn-F&F,Other Expense,,,S$0.00 ,382.11 
No,537,77010005,Depn-Computer,Other Expense,,,S$0.00 ,"140,464.13 "
No,538,77010006,Depn-Computer Hardware (TRM),Other Expense,,,S$0.00 ,231.83 
No,539,77010007,Depn-Software,Other Expense,,,S$0.00 ,"1,555,717.09 "
No,540,77010008,Depn-Software (TRM),Other Expense,,,S$0.00 ,"60,132.84 "
No,541,77010009,Depn-Office Equipment,Other Expense,,,S$0.00 ,"23,066.68 "
No,542,77010010,Depn-EDC,Other Expense,,,S$0.00 ,"592,825.56 "
No,543,77010011,Depn-PABX System,Other Expense,,,S$0.00 ,"32,454.78 "
No,544,77010012,Depn-Motor Vehicle,Other Expense,,,S$0.00 ,"16,867.10 "
No,545,77010013,Depn-The Plaza,Other Expense,,,S$0.00 ,0.00 
No,546,77010014,Depn-Leased Office Equip,Other Expense,,,S$0.00 ,0.00 
No,1242,77010015,Depn-Data Center,Other Expense,,,S$0.00 ,"392,966.41 "
No,547,77020001,Depn-ROU-Computer,Other Expense,,,S$0.00 ,"52,351.63 "
No,548,77020002,Depn-ROU-Office Equip,Other Expense,,,S$0.00 ,"1,513.53 "
No,549,77020003,Depn-ROU-Software,Other Expense,,,S$0.00 ,"18,784.72 "
No,550,77020004,Depn-ROU-Computer Hardware (TRM),Other Expense,,,S$0.00 ,106.03 
No,551,77020005,Depn-ROU-Software (TRM),Other Expense,,,S$0.00 ,419.67 
No,552,77020006,Depn-ROU-The Plaza,Other Expense,,,S$0.00 ,"135,990.46 "
No,553,77020007,Depn-ROU-Leased Office Equip,Other Expense,,,S$0.00 ,"74,001.29 "
No,1365,77020008,Depn-ROU-Leased Office,Other Expense,,,S$0.00 ,"22,010.67 "
Yes,233,78000000,Other Expenses,Other Expense,,,S$0.00 ,"553,115.54 "
No,554,78010001,Disposal of Fixed Assets (Gain)/Loss,Other Expense,,,S$0.00 ,(330.86)
No,555,78020001,Unrealised Foreign (Gain)/Loss,Other Expense,,,S$0.00 ,0.00 
No,556,78020002,Realised Foreign (Gain)/Loss,Other Expense,,,S$0.00 ,"13,900.67 "
No,557,78020003,Unrealised Foreign (Gain)/Loss-Bank,Other Expense,,,S$0.00 ,0.00 
No,558,78020004,Realised Foreign (Gain)/Loss-Bank,Other Expense,,,S$0.00 ,"2,037.27 "
No,559,78030001,Property Tax,Other Expense,,,S$0.00 ,"160,316.69 "
No,560,78030002,Stamp Duty,Other Expense,,,S$0.00 ,"6,547.50 "
No,561,78040001,Donation,Other Expense,,,S$0.00 ,"10,000.00 "
No,562,78040002,Penalty & Fines,Other Expense,,,S$0.00 ,"13,478.74 "
No,563,78040003,Input GST N/Claimable,Other Expense,,,S$0.00 ,"59,055.22 "
No,564,78040004,Misc Exp,Other Expense,,,S$0.00 ,(687.20)
No,1336,78040005,Management Service Expense,Other Expense,,,S$0.00 ,"288,797.51 "
Yes,234,78050000,Bad Debts & Impairment,Other Expense,,,S$0.00 ,"19,212,940.05 "
No,565,78050001,Impairment of Assets,Other Expense,,,S$0.00 ,0.00 
No,566,78050002,Impairment of Investments,Other Expense,,,S$0.00 ,0.00 
No,567,78060001,Bad Debts write off,Other Expense,,,S$0.00 ,"3,039,659.40 "
No,568,78060002,Bad Debt Expense,Other Expense,fka Provision for Doubtful Debts,,S$0.00 ,"16,173,280.65 "
No,1296,78060003,Charge-Off,Other Expense,,,S$0.00 ,0.00 
No,1297,78060004,Provisioning for Credit Loss 0-180 days,Other Expense,,,S$0.00 ,0.00 
No,569,78070001,IC Bad Debts write off,Other Expense,,,S$0.00 ,0.00 
No,570,78070002,IC Provision for Doubtful Debts,Other Expense,,,S$0.00 ,0.00 
Yes,235,80000000,Finance Cost,Other Expense,,,S$0.00 ,"35,171,268.87 "
No,571,80010001,SEC Asso Cost-Prgm Renewal Fee,Other Expense,,,S$0.00 ,"1,968,146.61 "
No,572,80010002,SEC Asso Cost-Annual Fee/Expenses,Other Expense,,,S$0.00 ,"440,039.44 "
No,573,80020001,ABS Bank Interest expense,Other Expense,,,S$0.00 ,"23,299,614.06 "
No,1270,80020002,ABS Seller Notes Interest exp,Other Expense,,,S$0.00 ,"460,416.66 "
No,574,80030001,Bank Charges,Other Expense,For non-opex charges eg. vendor and payroll payments,,S$0.00 ,"367,377.90 "
No,1212,80030002,Bank Charges (Acquiring),Other Expense,,,S$0.00 ,0.00 
No,1213,80030003,Bank Charges (Issuing),Other Expense,,,S$0.00 ,0.00 
No,575,80040001,Bank Guarantee,Other Expense,,,S$0.00 ,"4,474.67 "
No,1252,80040002,Performance Bond,Other Expense,,,S$0.00 ,"158,228.24 "
No,1319,80040003,Facility Fees,Other Expense,,,S$0.00 ,"103,000.00 "
No,576,80050001,Bank Loan Interest expense,Other Expense,,,S$0.00 ,"853,495.82 "
No,577,80060001,Intercompany Loan interest expense,Other Expense,,,S$0.00 ,"7,499,237.84 "
No,578,80070001,Lease Liabilties Interest,Other Expense,,,S$0.00 ,"17,237.63 "
Yes,579,85000000,Taxation Exp,Other Expense,,,S$0.00 ,"(144,570.45)"
No,580,85010001,Corporate Tax,Other Expense,,,S$0.00 ,0.00 
No,581,85010002,Corporate Tax Prior Year,Other Expense,,,S$0.00 ,"(164,569.94)"
No,582,85020001,Withholding Tax,Other Expense,,,S$0.00 ,"19,999.49 "
Yes,1152,90000000,Total Turnover,Revenue,,,S$0.00 ,"(55,476.91)"
No,1153,90000001,Turnover,Revenue,,,S$0.00 ,"(2,173,171,502.88)"
No,1154,90010001,L/SE-Shops (DCS),Revenue,,,S$0.00 ,"230,102,661.92 "
No,1155,90010002,L/SE-Shops (Others),Revenue,,,S$0.00 ,"5,666,639.87 "
No,1156,90010003,L/SE-Hotels (DCS),Revenue,,,S$0.00 ,"1,969,526.49 "
No,1157,90010004,L/SE-Hotels (Others),Revenue,,,S$0.00 ,"5,274,915.59 "
No,1158,90010005,L/SE-Rests (DCS),Revenue,,,S$0.00 ,"1,036,669.47 "
No,1159,90010006,L/SE-Rests (Others),Revenue,,,S$0.00 ,"743,659.87 "
No,1160,90010007,L/SE-P/Stations (DCS),Revenue,,,S$0.00 ,"8,990,268.21 "
No,1161,90010008,L/SE-P/Stations (Others),Revenue,,,S$0.00 ,"202,987.65 "
No,1162,90010009,L/SE-Airlines (TMP-DCS),Revenue,,,S$0.00 ,"1,203,372.80 "
No,1163,90010010,L/SE-Insurance,Revenue,,,S$0.00 ,"5,647,023.02 "
No,1164,90010011,L/SE-CAB,Revenue,,,S$0.00 ,"1,824,822,023.83 "
No,1165,90010012,L/SE-CAB Plus,Revenue,,,S$0.00 ,"226,189.03 "
No,1166,90010013,L/SE-Airlines (Others),Revenue,,,S$0.00 ,"17,908,721.74 "
No,1167,90010014,L/SE-Cash Advance (DCS),Revenue,,,S$0.00 ,"12,372,867.13 "
No,1168,90010015,Spending O'seas-Others,Revenue,,,S$0.00 ,"19,647,700.73 "
No,1169,90010016,TURNOVER - SE ALIPAY,Revenue,,,S$0.00 ,"26,243,596.25 "
No,1170,90010017,TURNOVER - SE WECHAT,Revenue,,,S$0.00 ,"11,057,202.37 "
No,114,NP001,Estimates,Non Posting,,,S$0.00 ,0.00 
No,124,NP002,Opportunities,Non Posting,,,S$0.00 ,0.00 
No,115,NP003,Purchase Orders,Non Posting,,,S$0.00 ,0.00 
No,113,NP004,Return Authorizations,Non Posting,,,S$0.00 ,0.00 
No,216,NP005,Revenue Arrangement,Non Posting,,,S$0.00 ,0.00 
No,116,NP006,Sales Orders,Non Posting,,,S$0.00 ,0.00 
No,222,NP007,Transfer Orders,Non Posting,,,S$0.00 ,0.00 
No,110,NP008,Unapproved Customer Payments,Non Posting,,,S$0.00 ,0.00 
No,117,NP009,Unapproved Expense Reports,Non Posting,,,S$0.00 ,0.00 
No,120,NP010,{#Vendor Return Authorizations#},Non Posting,,,S$0.00 ,0.00 
